Book,Author,Published,Fiction/Nonfiction,Year Read,Rating
"The Courage To Be Disliked: How to free yourself, change your life, and achieve real happiness",Ichiro Kishimi & Fumitake Koga,2013,Non-Fiction,2021,4
The Richest Man In Babylon,George S. Clason,1926,Fiction,2021,3
The Art of Invisibility: The World's Most Famous Hackers Teachs You How to Be Safe in the Age of Big Brother and Big Data,Kevin D. Mitnick,2017,Non-Fiction,2021,3
Myths & Texts,Gary Snyder,1960,Non-Fiction,2021,2
Layered Money - From Gold and Dollars to Bitcoin and Central Bank Digital Currencies,Nik Bhatia,2021,Non-Fiction,2021,3
The Book of Satoshi: The Collected Writings of Bitcoin Creator Satoshi Nakamoto,Phil Champagne,2014,Non-Fiction,2021,3
HTML and CSS: Design and Build Websites,Jon Duckett,2011,Non-Fiction,2021,2
"Blockchain Bubble or Revolution: The Future of Bitcoin, Blockchains, and Cryptocurrencies","Neel Mehta, Aditya Agashe, & Parth Detroja",2019,Non-Fiction,2021,2
Head First HTML & CSS: A Learner's Guide to Creating Standards-Based Web Pages,Elisabeth Robson & Eric Freeman,2012,Non-Fiction,2021,4
And Then There Were None,Agatha Christie,1939,Fiction,2021,3
The Bitcoin Standard,Saifedean Ammous,2018,Non-Fiction,2021,4
HUMANIMAL - How Homo sapiens Became Nature's Most Paradoxical Creature,Adam Rutherford,2019,Non-Fiction,2021,2
The Moon Is A Harsh Mistress,Robert A. Heinlein,1966,Fiction,2021,3
Annihilation [Book 1 of The Southern Reach Trilogy],Jeff Vandermeer,2014,Fiction,2021,3
The Alchemist,Paulo Coelho,1988,Fiction,2021,3
Death of a Salesman,Arthur Miller,1949,Fiction,2021,1
How I Built This - The Unexpected Paths to Success From The World's Most Inspiring Entrepreneurs,Guy Raz,2020,Non-Fiction,2021,4
The Importance of Being Earnest,Oscar Wilde,1895,Fiction,2021,2
Animal Farm,George Orwell,1945,Fiction,2021,4
Meditations,Marcus Aurelius,160 - 180,Non-Fiction,2021,5
Moonwalking With Einstein - The Art and Science of Remembering Everything,Joshua Foer,2011,Non-Fiction,2021,4
Atomic Habits - An Easy & Proven Way to Build Good Habits and Break Bad Ones,James Clear,2018,Non-Fiction,2021,5
MONEY The True Story of a Made-Up Thing,Jacob Goldstein,2020,Non-Fiction,2021,3
"Manage Your Day-To-Day: Build Your Routine, Find Your Focus & Sharpen Your Creative Mind",Jocelyn K. Glei (Edited by),2013,Non-Fiction,2021,2
